index	title	subtitle	asset_id	link
704	"EXAMPLE 6 2 LIVING ROOM CABINETS (Standardized unit furniture ""Hellerau Series 026"")"	Franz Ehrlich	IgGTDw2lcPskPw	https://artsandculture.google.com/asset/example-6-2-living-room-cabinets-standardized-unit-furniture-hellerau-series-026-franz-ehrlich/IgGTDw2lcPskPw
703	Two-tiered Chest	unknown	zQG3IuBQE-drDA	https://artsandculture.google.com/asset/two-tiered-chest-unknown/zQG3IuBQE-drDA
702	Sideboard and table (Design drawing from Alfred Arndt's and Lilly Reich's Interior Works class)	Eduard Ludwig	5gEeHR2mzvUDvA	https://artsandculture.google.com/asset/sideboard-and-table-design-drawing-from-alfred-arndt-s-and-lilly-reich-s-interior-works-class-eduard-ludwig/5gEeHR2mzvUDvA
701	Worktable, bookshelf (from Alfred Arndt's and Lilly Reich's Interior Works class)	Eduard Ludwig	_QG0EpcUAGyb1A	https://artsandculture.google.com/asset/worktable-bookshelf-from-alfred-arndt-s-and-lilly-reich-s-interior-works-class-eduard-ludwig/_QG0EpcUAGyb1A
700	Workplace with combinable bookshelf (from Alfred Arndt's and Lilly Reich's Interior Works class)	Eduard Ludwig	4QHspPI_F8svJA	https://artsandculture.google.com/asset/workplace-with-combinable-bookshelf-from-alfred-arndt-s-and-lilly-reich-s-interior-works-class-eduard-ludwig/4QHspPI_F8svJA
699	Bookshelf (Fit-together furniture, views and perspective; from Alfred Arndt's Interior Works class)	Eduard Ludwig	swHKxSFma7mSvw	https://artsandculture.google.com/asset/bookshelf-fit-together-furniture-views-and-perspective-from-alfred-arndt-s-interior-works-class-eduard-ludwig/swHKxSFma7mSvw
698	Dining and living room with side-by-side individual types (from Alfred Arndt's and Lilly Reich's Interior Works class)	Eduard Ludwig	uQHcS8D9NhSBuA	https://artsandculture.google.com/asset/dining-and-living-room-with-side-by-side-individual-types-from-alfred-arndt-s-and-lilly-reich-s-interior-works-class-eduard-ludwig/uQHcS8D9NhSBuA
697	Study: Desk. Bookcase and office cabinet	Friedrich Engemann	DwGo1kL6e_5aEw	https://artsandculture.google.com/asset/study-desk-bookcase-and-office-cabinet-friedrich-engemann/DwGo1kL6e_5aEw
696	Untitled (Bedroom furnishings; from Alfred Arndt's and Lilly Reich's Interior Works class)	Eduard Ludwig	LgED6WPPtid9xg	https://artsandculture.google.com/asset/untitled-bedroom-furnishings-from-alfred-arndt-s-and-lilly-reich-s-interior-works-class-eduard-ludwig/LgED6WPPtid9xg
695	DESIGN FOR A SINGLE-VESSEL CHAMBER LOCK. (Exercise by Reinhold Rossig at State Construction School of Saxony in Dresden, 1928/1929)	unknown	dgEov0pPjzS6pQ	https://artsandculture.google.com/asset/design-for-a-single-vessel-chamber-lock-exercise-by-reinhold-rossig-at-state-construction-school-of-saxony-in-dresden-1928-1929-unknown/dgEov0pPjzS6pQ
